tweetid,link,author,title,description,pubdate,source,favorite_count,retweet_count,tweet_type,user_id,user_friends_count,user_followers_count,user_location
1.46518E+18,https://twitter.com/burneryikes/statuses/1465184638335426564,burneryikes,RT @tobybarnes: House of Gucci is incredibly good. Best film 2021 equal with dune,House of Gucci is incredibly good. Best film 2021 equal with dune,11/29/2021 0:03,Twitter for iPhone,0,3,retweet,1.27601E+18,2958,2192,
1.46518E+18,https://twitter.com/TIEMithril713/statuses/1465183899785572359,TIEMithril713,"RT @TheSpaceshipper: Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k","Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k",11/29/2021 0:00,Twitter for Android,0,61,retweet,161313195,1452,394,Corellia 
1.46518E+18,https://twitter.com/vampiriccunt/statuses/1465183700027682820,vampiriccunt,RT @arcane_huntress: dune (2021) is this generation’s dune (1984),dune (2021) is this generation’s dune (1984),11/28/2021 23:59,Twitter for iPhone,0,7,retweet,1.25885E+18,1076,134,They/Any/all
1.46518E+18,https://twitter.com/wmm_ebooks/statuses/1465182658758164482,wmm_ebooks,@WendySnowRadish dune (2021),@WendySnowRadish dune (2021),11/28/2021 23:55,Twitter for Android,0,0,reply,851877294,787,578,
1.46518E+18,https://twitter.com/pxxishappy/statuses/1465181816919248896,pxxishappy,RT @RealScreenGeek: Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,11/28/2021 23:52,Twitter for iPhone,0,83,retweet,2899998932,617,189,"เกียมไปบิวเยม, โซล, เกาหลีใต้"
1.46518E+18,https://twitter.com/JimmyGreenfie17/statuses/1465181596470890496,JimmyGreenfie17,@MIKEZEROH1 hi Mike here some news of Gina Carano. Please make video and share your thoughts and update. https://t.co/8hLOcWVWrS,@MIKEZEROH1 hi Mike here some news of Gina Carano. Please make video and share your thoughts and update. https://t.co/8hLOcWVWrS,11/28/2021 23:51,Twitter for Android,0,0,original,1.07483E+18,248,79,"Brooklyn Heights, OH"
1.46518E+18,https://twitter.com/spinachkid/statuses/1465181054638051334,spinachkid,"RT @TheSpaceshipper: Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k","Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k",11/28/2021 23:49,TweetDeck,0,61,retweet,3078789133,194,239,Voya Nui
1.46518E+18,https://twitter.com/EdelgardHrsvelg/statuses/1465180969909030912,EdelgardHrsvelg,"RT @TheSpaceshipper: Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k","Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k",11/28/2021 23:48,Twitter for iPhone,0,61,retweet,587100481,405,924,#1 小原鞠莉
1.46518E+18,https://twitter.com/gagasexyholland/statuses/1465180443372785664,gagasexyholland,RT @tobybarnes: House of Gucci is incredibly good. Best film 2021 equal with dune,House of Gucci is incredibly good. Best film 2021 equal with dune,11/28/2021 23:46,Twitter for iPhone,0,3,retweet,471167817,1627,3691,Lady Gaga
1.46518E+18,https://twitter.com/LadyBergamotx/statuses/1465180410569273353,LadyBergamotx,"RT @TheSpaceshipper: Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k","Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k",11/28/2021 23:46,Twitter Web App,0,61,retweet,1.18385E+18,282,816,Xander of Nohr\'s Tiddies
1.46518E+18,https://twitter.com/tykjen/statuses/1465179630441312260,tykjen,#Dune 2021 #Deleted Scene - Gurney Plays The Baliset !!! https://t.co/Z82WLvDX0z via @YouTube,#Dune 2021 #Deleted Scene - Gurney Plays The Baliset !!! https://t.co/Z82WLvDX0z via @YouTube,11/28/2021 23:43,Twitter Web App,0,0,original,31718580,2411,1307,"Tromsø, Norway"
1.46518E+18,https://twitter.com/tobybarnes/statuses/1465179231084695552,tobybarnes,House of Gucci is incredibly good. Best film 2021 equal with dune,House of Gucci is incredibly good. Best film 2021 equal with dune,11/28/2021 23:42,Twitter for iPhone,23,3,original,14094091,2453,3144,"Portland, OR "
1.46518E+18,https://twitter.com/PongsapakP/statuses/1465178770160041988,PongsapakP,"RT @TheSpaceshipper: Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k","Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k",11/28/2021 23:40,Twitter for iPad,0,61,retweet,1223287016,281,168,
1.46518E+18,https://twitter.com/ArtPitter/statuses/1465178400105115648,ArtPitter,"RT @TheSpaceshipper: Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k","Dune (2021): Giedi Prime, art by Deak Ferrand for @FXRodeo https://t.co/0vYGF2C48k",11/28/2021 23:38,Twitter Web App,0,61,retweet,1.19566E+18,152,26,Shanghai
1.46518E+18,https://twitter.com/WatkinJames/statuses/1465177771643187203,WatkinJames,"@ohplzlol @BaronDestructo With Dune 2021 I am wondering it there will be a Director\'s Cut showing the other side to the Story; there is also a TV Series being made ""Dune: The Sisterhood"" which is made by the same People/Director. Perhaps this along with the film will give it some Saving Grace.","@ohplzlol @BaronDestructo With Dune 2021 I am wondering it there will be a Director\'s Cut showing the other side to the Story; there is also a TV Series being made ""Dune: The Sisterhood"" which is made by the same People/Director. Perhaps this along with the film will give it some Saving Grace.",11/28/2021 23:36,Twitter Web App,1,0,reply,1579807442,340,76,"Nottingham, England"
1.46517E+18,https://twitter.com/SnyderChilean/statuses/1465174926638395402,SnyderChilean,RT @RebeccaFan14: Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,11/28/2021 23:24,Twitter Web App,0,61,retweet,1.27631E+18,2087,3942,"Santiago, Chile"
